id_unit,id_akun,kode_akun,nama_akun,total_rincian,bulan_1,bulan_2,bulan_3,bulan_4,bulan_5,bulan_6,bulan_7,bulan_8,bulan_9,bulan_10,bulan_11,bulan_12,total_akb,selisih,action
1414,4136,4.1.01.08.09.0001,"4.1.01.08.09.0001 Pajak Panti Pijat, Refleksi, Mandi Uap/Spa dan Pusat Kebugaran (Fitness Center)",1586138000,57484012,29191441,36158373,64450943,65868615,93736339,168050272,170372583,198240307,191273376,232750152,278561587,1586138000,0,
1414,4138,4.1.01.08.10.0001,4.1.01.08.10.0001 Pajak Pertandingan Olahraga,267750000,9703661,4927698,6103759,10879721,11119033,15823280,28367935,28759955,33464201,32288141,39289679,47022937,267750000,0,
1414,4141,4.1.01.09.01.0001,4.1.01.09.01.0001 Pajak Reklame Papan/Billboard/Videotron/ Megatron,13906535000,916471890,713897676,761152225,732914252,761152225,839895770,1021807618,1385631314,1567543162,1294675390,2022322781,1889070697,13906535000,0,
1414,4143,4.1.01.09.02.0001,4.1.01.09.02.0001 Pajak Reklame Kain,805795000,53103700,41365817,44103916,42467705,44103916,48666602,59207234,80288496,90829129,75018181,117180706,109459598,805795000,0,
1414,4149,4.1.01.09.05.0001,4.1.01.09.05.0001 Pajak Reklame Berjalan,533000000,35125897,27361773,29172913,28090628,29172914,32190942,39163131,53107513,60079703,49621418,77510181,72402987,533000000,0,
1414,4159,4.1.01.09.10.0001,4.1.01.09.10.0001 Pajak Reklame Peragaan,43982000,2898512,2257834,2407286,2317977,2407285,2656327,3231656,4382316,4957646,4094651,6395971,5974539,43982000,0,
1414,4162,4.1.01.10.01.0001,4.1.01.10.01.0001 Pajak Penerangan Jalan Dihasilkan Sendiri,2652945000,162238300,175415200,195592100,197592100,200592100,201592100,201592100,203592100,230592100,281592100,291592100,310962600,2652945000,0,
1414,4164,4.1.01.10.02.0001,4.1.01.10.02.0001 Pajak Penerangan Jalan Sumber Lain,265308386000,22000000000,22000000000,22000000000,21033809280,21133609280,21253809280,23033809280,23133609280,23253809280,24033809280,25500367780,16931753260,265308386000,0,
1414,4167,4.1.01.11.01.0001,4.1.01.11.01.0001 Pajak Parkir,10212000000,513000000,450000000,513000000,613966640,623966640,630966640,713966640,973966640,980966640,1393966640,1444737790,1359495730,10212000000,0,
1414,4170,4.1.01.12.01.0001,4.1.01.12.01.0001 Pajak Air Tanah,63747447000,4800000000,4500000000,4500000000,4218747161,5091488193,5752419481,5718747160,6252419481,6591488193,6339917575,6752419481,3229800275,63747447000,0,
1414,4182,4.1.01.14.04.0001,4.1.01.14.04.0001 Pajak Batu Kapur,111698000,6961601,6693847,6961601,8126972,8305475,8323324,9911998,10179752,10447505,11964778,12232532,11588615,111698000,0,
1414,4198,4.1.01.14.12.0001,4.1.01.14.12.0001 Pajak Granit/Andesit,48235608000,3006294385,2890667678,3006294389,3509547476,3586631948,3594340396,4280392191,4396018898,4511645605,5166863612,5282490319,5004421103,48235608000,0,
1414,4220,4.1.01.14.23.0001,4.1.01.14.23.0001 Pajak Pasir dan Kerikil,442997000,27609880,26547962,27609881,32231770,32939715,33010509,39311226,40373145,41435064,47452602,48514519,45960727,442997000,0,
1414,4234,4.1.01.14.30.0001,4.1.01.14.30.0001 Pajak Tanah Liat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1414,4238,4.1.01.14.32.0001,4.1.01.14.32.0001 Pajak Tras,159495000,9940559,9558230,9940559,11604607,11859495,11884982,14153468,14535798,14918127,17084658,17466989,16547528,159495000,0,
